AAB	ABELAG AVIATION	ABELAG
EUU	EUROAMERICAN AIR	EUROAMERICAN
EUW	EFS EUROPEAN FLIGHT SERVICE AB	EUROWEST
EVA	EVA AIRWAYS CORPORATION	EVA
EVC	RCS SERVICES LLC	EVER CLEAR
EVE	EVELOP AIRLINE, S.L.	EVELOP
EVJ	EVERJETS - AVIACAO EXECUTIVA, S.A.	EVERJETS
EVK	EVERETT AVIATION	EVERETT
EVL	EVOLEM AVIATION	EVOLEM
EVM	NATURAL ENVIRONMENT RESEARCH COUNCIL	SCIENCE
EVN	EURAVIATION S.R.L.	EURAVIATION
EVP	EUROPE AIR	EUROAIR
EVQ	EVERETT AVIATION LDA	EVERETT AIR
EVR	AERONAUTICAL ACADEMY OF EUROPE - ACADEMIA AERONAUTICA DE EVORA, S.A.	DIANA
EVX	ATR (AVION DE TRANSPORT REGIONAL)	GREEN SPIRIT
EWA	EWEST AIR	EWEST
EWE	EUROWINGS EUROPE	EUROPWINGS
EWG	EUROWINGS GMBH	EUROWINGS
EWL	EUROWINGS EUROPE LTD.	BLACK PEARL
EWR	EWA AIR	MAYOTTE AIR
EWS	EAST WEST AIRLINES	EAST WEST
EWU	EAST - WEST EXPRESS LLC	UKRAINE EXPRESS
EWZ	EAST WING	E-WING
EXA	IMP GROUP LTD.	CANADIANEXECAIRE
EXB	BRAZILIAN ARMY AVIATION	BRAZILIAN ARMY
EXC	EC CHARTER CA	ECAIR
EXD	EXECUJET AVIATION (PTY) LTD	PLATINUM EXEC
EXE	EXECUTIVE FLIGHT, INC. (ARLINGTON, TX)	EXEC
EXF	EXIMFLIGHT, S.A. DE C.V.	EXIMFLIGHT
EXH	EXECUTIVE HELICOPTERS	EXEC HELI
EXJ	EXECUTIVE JET CHARTER LIMITED	VOLONTE
EXK	EXECUTIVE AIRLINES, INC. D/B/A AMERICAN EAGLE (SAN JUAN, PR)	EXECUTIVE EAGLE
EXM	CAA FLIGHT EXAMINERS	EXAM
EXN	EXIN	EXIN
EXP	ISLAND EXPRESS AIR	ISLAND EXPRESS
EXS	JET2.COM LTD	CHANNEX
EXT	NIGHT EXPRESS LUFTVERKEHRSGESELLSCHAFT MBH, FRANKFURT	EXECUTIVE
EXU	EXECUTIVE AIRLINES, S.L.	SACIR
EXV	FITS AVIATION (PVT) LTD	EXPOAVIA
EXY	(Leer)	EXPRESSWAYS
EXZ	EAST AFRICAN SAFARI AIR EXPRESS LIMITED	TWIGA
EYE	F.S. AIR SERVICE, INC. (ANCHORAGE, AK)	SOCKEYE
EYT	ETIHAD FLIGHT COLLEGE	JERNAS
EZA	EZNIS AIRWAYS LLC	EZNIS
EZB	FLUGSCHULE EICHENBERGER AG	EICHENBERGER
EZD	ZEST AIRWAYS INCORPORATED	ZEST AIRWAYS
EZE	EASTERN AIRWAYS (UK) LIMITED	EASTFLIGHT
EZJ	EZJET GT INC.	GUYANA JET
EZR	EZ AIR B.V.	EASYWAY
EZS	EASY JET SWITZERLAND SA	TOPSWISS
EZX	EAGLEXPRESS AIR CHARTER SDN. BHD.	EAGLEXPRESS AIR
EZY	EASYJET UK LTD	EASY
EZZ	ETF AIRWAYS	ENTERPRIZE
FAB	BRADLEY AIR SERVICES D/B/A FIRST AIR	FIRST AIR
FAC	FUERZA AEREA COLOMBIANA	COLOMBIAN AIR FORCE
FAD	FLYADEAL	ADEAL
FAE	FUERZA AEREA ECUATORIANA	ECUADORIAN AIRFORCE
FAF	FORCE AERIENNE FRANCAISE	FRENCH AIR FORCE
FAG	FUERZA AEREA ARGENTINA	FUAER
FAH	FARNAIR HUNGARY LTD	BLUE STRIP
FAI	FALCON AIR, INC. (FLINT, MI)	MOTOR-CITY
FAJ	FLY AMAN	AMANJET
FAK	FINANCIAL AIRXPRESS	FACTS
FAL	FRIENDSHIP AIR ALASKA (FAIRBANKS, AK)	FRIENDSHIP
FAM	FUERZA AEREA MEXICANA	FAMEX
FAN	AF-AIR INTERNATIONAL	FANBIRD
FAO	FALCON AIR EXPRESS (MIAMI, FL)	PANTHER
FAP	F AIR	FAIR SCHOOL
FAR	AG-RAUM GMBH, WARNGAU	TORRO
FAS	FLORIDA AIR CARGO (OPA LOCKA, FL)	FLORIDA CARGO
FAT	AIR TAXI (AVIATION CONNECTIVITY AND INFRASTRUCTURE DEVELOPERS PVT. LTD.)	AIR TAXI
FAU	FALCON AIRLINE LIMITED	FALCON AIRLINE
FAV	FAIR AVIATION PTY LTD	FAIRAVIA
FAW	FALWELL AVIATION, INC. (LYNCHBURG, VA)	FALWELL
FAX	MIDWEST AIR FREIGHTERS (KANSAS CITY, KS)	FAIRFAX
FAY	FAYBAN AIR SERVICES	FAYBAN AIR
FAZ	FLINT AVIATION SERVICES, INC. (FLINT, MI)	FLINT AIR
FBA	FLY BAGHDAD	IRAQ EXPRESS
FBC	FLY BLUE CRANE	BLUE CRANE
FBE	PAN AFRICAN AIRLINES LEASING COMPANY LTD	AFRIBEE
FBF	FINE AIRLINES, INC. (MIAMI, FL)	FINE AIR
FBG	FLEET AIR BG	FLEET BIG
FBJ	BABY JET AIRLINES LIMITED	BABY JET
FBN	FLORIDA AIR TRANSPORT, INC. (OPA LOCKA,FL)	FLORIDA TRANSPORT
FBR	BADEN AIRCRAFT OPERATION GMBH, RHEINMUENSTER	AVANGARD
FBS	FLYBOSNIA	BOSNIA AIR
FBU	FRENCH BLUE	FRENCH BEE
FBX	FLYING BUSINESS AVIATION	BUSINESS JET
FBY	FLY BAI, S.L.	BAI FLY
FBZ	FLYBONDI	BONDI
FCA	FLY-COOP AIR SERVICE	COOPAIR
FCB	COBALTAIR LIMITED	APOLLO
FCH	FLY UNION	SKY UNION
FCJ	AIRSPRINT US, INC. (SCOTTSDALE,AZ)	FRACJET
FCK	FCS, FLIGHT CALIBRATION SERVICES, BRAUNSCHWEIG	NAV CHECKER
FCL	FLORIDA COASTAL AIRLINES, INC. (FORT PIERCE, FL)	FLORIDA COASTAL
FCM	NORDIC REGIONAL AIRLINES OY	FINNCOMM
FCO	AEROFRISCO	AEROFRISCO
FCP	FLIGHT CORPORATION LTD	FLIGHTCORP
FCS	NEDGISTIC EXPRESS SERVICES & AVIATION	NESA
FCT	FLY CI LTD	DEALER
FCX	FALCON EXPRESS CARGO AIRLINES	FALCON CARGO
FDA	FUJI DREAM AIRLINES	FUJI DREAM
FDB	FLYDUBAI	SKY DUBAI
FDJ	FREEDOM AIR LLC	FREEDOM JET
FDK	FLYDAMAS	DAMAVIA
FDL	FARMINGDALE STATE UNIVERSITY (FARMINGDALE, NY)	FARMINGDALE STATE
FDM	FREEDOM AIRLINES, INC. (BINGHAMTON, NY)	LIBERTY
FDN	DOLPHIN AIR	FLYING DOLPHIN
FDO	FRANCE DOUANES	FRENCH CUSTOM
FDR	FEDERAL AIR (PTY) LTD	FEDAIR
FDS	AFRICAN MEDICAL AND RESEARCH FOUNDATION (AMREF)	FLYDOC
FDT	FREEDOM AIRLINES EXPRESS LTD.	FREEDOM EAGLE
FDU	FLY DUSHANBE AIRLINES	EURASIAN
FDX	FEDERAL EXPRESS CORPORATION	FEDEX
FDY	SUN AIR EXPRESS, LLC  (FT. LAUDERDALE, FL)	FRIENDLY
FDZ	FLIGHT DECK SUPPORT	BLUE LUX
FEA	FAR EASTERN AIR TRANSPORT CORPORATION	FAR EASTERN
FEE	AEROSERVICIOS FARES C.A.	FARES
FEG	FLY EGYPT	SKY EGYPT
FEI	EAGLE AIR ICELAND (FLUGFELAGID ERNIR)	ARCTIC EAGLE
FEM	FLYWELL AIRLINE	ZIM AIRLINK
FEN	EUROCOPTER UK LTD	FENESTRON
FEO	AEROFERINCO, S.A. DE C.V.	FERINCO
FES	AERO TAXIS Y SERVICIOS ALFE, S.A. DE C.V.	AERO ALFE
FET	OLD DOMINION FREIGHT LINES, INC. (THOMASVILLE,NC)	FREIGHT LINE
FEX	FLIGHTEXEC	FLIGHTEXEC
FFA	AVIALESOOKHRANA	AVIALESOOKHRANA
FFB	AFRICAIR SERVICE	FOXTROT FOXTROT
FFC	FAIROAKS FLIGHT CENTRE	FAIROAKS
FFD	FEUERWEHREINSATZ	FLORIAN
FFE	FFL FACHSCHULE FUER LUFT-FAHRZEUGFUEHRER GMBH, MUELHEIM	SMART TRAINER
FFF	FREEDOM AIR SERVICES LTD	INTER FREEDOM
FFH	SHALOM AIR SERVICES	PEACE AIR
FFI	INFINIT AIR, S.L.	INFINIT
FFL	FOREFLIGHT, LLC	FOREFLIGHT
FFM	FLYFIREFLY SDN BHD	FIREFLY
FFS	FLORIDA DEPT OF AGRICULTURE (TALLAHASSEE, FL)	FORESTRY
FFT	FRONTIER AIRLINES, INC. (DENVER, CO)	FRONTIER FLIGHT
FFU	GEC MARCONI AVIONICS LTD	FERRANTI
FFV	FIVE FORTY AVIATION LTD	SWIFT TANGO
FFX	NORDESTE LINHAS AEREAS, S.A.	FLEX BRASIL
FFY	FLORIDA FLYERS FLIGHT ACADEMY, INC.	FLYERS AIR
FGA	GEORGIAN AVIATION FEDERATION	GEORGIA FED
FGC	DEPARTAMENTO DE AGRICULTURA DE LA GENERALITAT DE CATALUNA	FORESTALES
FGD	CONAIR GROUP INC.D/B/A CONAIR	FIREGUARD
FGE	FLY GEORGIA LTD	GEORGIAN WING
FGG	FLYGLOBAL CHARTER SDN. BHD.	BLUEFINCH
FGN	GENDARMERIE NATIONALE	FRANCE GENDARME
FGO	FTL AIRLINES	RED CARGO
FGP	FLYING-RESEARCH AEROGEOPHYSICAL CENTER LTD	FLYING CENTER
FGR	TRANS-PACIFIC AIR CHARTER LLC	FRIGATE
FGS	ELITELLINA S.R.L.	ELITELLINA
FGT	AERO FREIGHT, S.A. DE C.V.	FREIAERO
FGW	FLY GANGWON	GANGWON
FHE	HELLO AG	FLYHELLO
FHG	FLYING HOPE E.V.	FLYING HOPE
FHL	FAST HELICOPTERS LIMITED	FINDON
FHM	FREEBIRD AIRLINES EUROPE LIMITED	EUROBIRD
FHV	FLYVERHJEMMEVAERNET	PATROL
FHY	FREE BIRD AIRLINES (HURKUS HAVAYOLU TASIMACILIK VE TICARET A.S.)	FREEBIRD AIR
FIA	FLY ONE	FIA AIRLINES
FIC	AEROSAFIN, S.A. DE C.V.	AEROSAFIN
FIE	FLYONE ARMENIA	ARMRIDER
FIF	OY AIR FINLAND LTD, FINLAND	AIR FINLAND
FIH	FINNHEMS OY	FINNHEMS
FII	AFI FLIGHT INSPECTION GMBH, BRAUNSCHWEIG	FLIGHT CHECKER
FIK	JF AIR TRAFFIC, INC.	FIKES
FIL	FLY LINE S.L.	FLYLINE
FIN	FINNAIR OYJ	FINNAIR
FIR	FIRST LINE AIR (SL) LIMITED	FIRSTLINE AIR
FIS	WINGGLIDER LIMITED GBR.ATO.0216	SHERRY
FIV	CITATIONSHARES, LLC (GREENWHICH CT)	FIVE STAR
FIX	AIRFIX AVIATION, FINLAND	AIRFIX
FIZ	LET'S FLY HELICOPTER&JET	COCKTAIL
FJA	FIJI AIRLINES LIMITED	LINK FIJI
FJB	FASTJET ZAMBIA LIMITED	FASTBIRD
FJC	FALCON JET CENTRE	FALCONJET
FJE	FANJET EXPRESS	FANJET
FJI	AIR PACIFIC LIMITED	FIJI
FJL	FLY JINNAH	OKAAB
FJM	FLY JAMAICA AIRWAYS LIMITED	GREENHEART
FJO	FLEXJET OPERATIONS MALTA LIMITED	FLEX MALTA
FJR	SOLITAIRE AIR (FLY JORDAN)	SOLITAIRE AIR
FJS	FLORIDA JET SERVICE, INC. (FORT LAUDERDALE, FL)	FLORIDAJET
FJT	FUTURE AIR CO., LTD.	FUTURE AIR
FJW	FASTJET ZIMBABWE LIMITED	ZIMBIRD
FKI	FLM AVIATION MOHRDIECK GMBH & CO. KG, KIEL	KIEL AIR
FKL	V. KELNER PILATUS CENTER INC.	KELNER
FKS	OMEGA AIR HOLDINGS, LLC D/B/A FOCUS AIR (FT. LAUDERDALE, FL)	FOCUS
FKZ	FLY KUMBA	KUMBA
FLA	FLITE	BLUEROCK
FLB	FLY ART	ROSSIGNOL
FLC	UNITED STATES DEPARTMENT OF TRANSPORTATION, FEDERAL AVIATION ADMINISTRATION, FLIGHT INSPECTION SERVICES (OKLAHOMA CITY, OK)	FLIGHT CHECK
FLD	EMPRESA FLORIDIAN S.A.	FLORIDIAN
FLE	FLAIR AIRLINES LTD	FLAIR
FLF	FRIENDSHIP AIRLINES LTD	FRIEND AIR
FLG	BIG CHARTER PRIVATE LIMITED	KRISH
FLH	SKY BUS, INC. (DENVER, CO)	MILE HIGH
FLI	ATLANTIC AIRWAYS, FAROE ISLANDS P/F	FAROELINE
FLJ	FLEXJET OPERATIONS LTD	FLEXAIR
FLK	FLYLINK EXPRESS S.A.	FLYLINK
FLL	FEDERAL AIRLINES	FEDERAL AIRLINES
FLN	FLAMINGO, AIR-LINE LLC	ILIAS
FLO	FLYCOM D.O.O.	FLYCOM
FLP	FL140 PARACHUTISME BORDEAUX	PARAPRO
FLR	FLEETAIR	FLEETAIR
FLS	FLYING FAST, S.A. DE C.V.	RAPIDOS
FLT	FLIGHTLINE	FLIGHTLINE
FLV	CIVAIR AIRWAYS (PTY) LTD T/A REDAIR	SKY RED
FLW	FLOWAIR AVIATION	QUICKFLOW
FLX	FLIGHT EXPRESS, INC. (ORLANDO, FL)	FLIGHT EXPRESS
FLZ	FLIGHTLINK LIMITED	FLIGHTLINK
FMA	FUMIGACION AEREA ANDALUZA, S.A.	FAASA
FMC	CLAESSENS INTERNATIONAL LTD	CLAESSENS
FMF	EGYPTIAN AVIATION ACADEMY	EGYPT ACADEMY
FMG	FMG VERKEHRSFLIEGERSCHULE, BUEREN	HUSKY
FMI	FMI AIR	GECKO
FML	SKY MALI	EAGLE BIRD
FMR	FLAMINGO AIR, INC. (CINCINNATI, OH)	FLAMINGO AIR
FMS	HADISON AVIATION	HADI
FMX	FLYFAST, S.A. DE C.V.	FASTMEX
FMY	AVIATION LEGERE DE L'ARMEE DE TERRE	FRENCH ARMY
FNA	NORLANDAIR	NORLAND
FNC	FINALAIR CONGO	FINALAIR CONGO
FNF	FINNISH AIR FORCE HEADQUARTERS	FINNFORCE
FNG	FINNISH BORDER GUARD	FINNGUARD
FNK	IAS ITZEHOER AIRSERVICE GMBH	FUNKY
FNL	LAPIN TILAUSLENTO OY	FINN FLIGHT
FNO	AEROFLOTA DEL NOROESTE S.L.	RIAZOR
FNS	FINESSE EXECUTIVE LTD	FINESSE
FNT	FINLIGHT AIRLINE L.L.C.	AVIALIGHT
FNV	TRANSAVIASERVICE	TRANSAVIASERVICE
FNX	FENIX AIR CHARTER	CRESCENT
FNY	FRANCE MARINE NATIONALE	FRENCH NAVY
FOA	FORTUNE AIR (PTY) LTD	FORTUNE AIR
FOC	OFFICE FEDERAL DE L'AVIATION CIVILE	FOCA
FOE	FLY ONE AIRLINES	FIRST EAGLE
FOF	FLYFOFA AIRWAYS	FOFA
FOH	FLY ORION AIRWAYS	ORION
FON	FLYINGTON FREIGHTS LIMITED	FLYINGTON
FOO	ANISEC GMBH	AUSTROJET
FOP	FOKKER AIRCRAFT SERVICES	FOKKER SERVICES
FOR	FORMULA ONE MANAGEMENT LIMITED	FORMULA
FOT	AVIAT AVIACION Y TRABAJOS AEREOS, S.L.	AVIFOTO
FOX	FLYR	GREENSTAR
FOZ	STARS AIRWAYS	STARS AIRWAYS
FPC	FLIGHT PRO INTERNATIONAL, LLC	PRO CONNECT
FPF	FJR PRIVATE FLIGHT	SIJI
FPG	TAG AVIATION S.A.	TAG AVIATION
FPI	FLYPERSIA	PERSIA
FPK	AIR FALCON (PVT) LIMITED	FEATHER
FPL	AUSTRALIAN FEDERAL POLICE	FEDPOL
FPO	ASL AIRLINES FRANCE 	FRENCH POST
FPS	FLIGHTPASS LTD	FLIGHTPASS
FPY	FLY PLAY	PLAYER
FQA	QUIKJET CARGO AIRLINES PVT. LTD	QUIK LIFT
FRA	FR AVIATION LTD	RUSHTON
FRB	FLY RAK	RAKWAY
FRC	ICARE FRANCHE COMPTE	FRANCHE COMPTE
FRD	FORD MOTOR COMPANY (DETROIT, MI)	FORD
FRE	BOEING TACTICAL (ST.LOUIS, MO)	FREEDOM
FRF	FLEET AIR INTERNATIONAL LTD	FAIRFLEET
FRG	FREIGHT RUNNERS EXPRESS, INC. (MILWAUKEE, WI)	FREIGHT RUNNERS
FRH	ACE BELGIUM FREIGHTERS S.A.	ACE FREIGHT
FRI	FREEDOM AIR (PTY) LTD T/A NORTH EAST CHARTERS	FREEFLIGHT
FRJ	AFRIJET AIRLINES	AFRIJET
FRK	AFRIKA AVIATION HANDLERS LIMITED	AFRIFAST
FRM	FEDERAL ARMORED SERVICE, INC. (WYOMING, MI)	FEDARM
FRN	FIRST NATION AIRWAYS (SS) LIMITED	FIRST NATION
FRQ	AFRIQUE CHART'AIR	CHARTER AFRIQUE
FRR	FRESH AIR LTD	FRESH AIR
FRS	COMFORT SERVICIOS AEREOS, S.A. DE C.V.	COMFORT SERVICIOS
FRU	SECURITE CIVILE FRANCAISE	FRENCH RESCUE
FRV	CARVER AERO, LLC DBA REVV AVIATION	REV AERO
FRW	FARWEST AIRLINES, INC. (CHANDLER, AZ)	FARWEST
FRX	FORT AERO	FORT AERO
FSA	FOSTER AVIATION (NOME, AK)	FOSTER-AIR
FSB	FSB FLUGSERVICE & DEVELOPMENT GMBH, BERLIN-SCHOENEFELD	SEABIRD
FSC	FOUR STAR AVIATION D/B/A FOUR STAR GARGO (ST. THOMAS, VI)	FOUR STAR
FSE	AFS ALPINE FLIGHTSERVICE GMBH	FALCO
FSF	FLY7 FINLAND	ROCKY
FSJ	FREESKY AVIATION CO., LTD	FREE SKY
FSK	AFRICA CHARTER AIRLINES CC	AFRICAN SKY
FSL	FLIGHT SAFETY LIMITED	FLIGHTSAFETY
FSO	SKY ONE S.R.O.	SKY AIR
FSP	APERTURE AVIATION	SNAPSHOT
FSQ	FLYSKY AIRLINES	KYRGYZ BIRD
FSR	FLIGHTSTAR CORPORATION, THE (SAVOY, IL)	FLIGHTSTAR
FSS	CHEROKEE AIR LIMITED	ABACO
FST	FLIGHT SUPPORT INC.	FLIGHTRON
FSU	FLYSKY AIRLINES	UKRAINE BIRD
FSW	FASO AIRWAYS SARL	FASO
FSX	FLAGSHIP EXPRESS SERVICES, INC. (YPSILANTI, MI)	FLAG
FSY	PRIVATEAIR INC.	FROSTY
FTA	FRONTIER FLYING SERVICE, INC. (FAIRBANKS, AK)	FRONTIER-AIR
FTC	FTC AVIATION	FANTASTIC
FTD	ANDREW BETTIS AVIATION, LLC DBA AB JETS	FORTITUDE
FTG	FLYING TECHNOLOGY AIRLINE LIMITED	TECHNOLOGY
FTH	MOUNTAIN AVIATION, INC. (BROOMFIELD, CO)	FOOTHILLS
FTJ	FU TAI BUSINESS JETS CO. LTD	HU TAI
FTK	NORTH CAROLINA FOREST SERVICE	FIRETAC
FTL	FLIGHTLINE	FLIGHT-AVIA
FTM	FLYTEAM AVIATION LTD	FLYTEAM
FTN	VICTORY AIR LLC	FRONTRUNNER
FTO	TROPIC OCEAN AIRWAYS LLC	WAGNER
FTP	KEYSTONE AERIAL SURVEYS, INC. (PHILADELPHIA, PA)	FOOTPRINT
FTR	FINIST'AIR	FINISTAIR
FTS	FIRST SABRE, S.A. DE C.V.	FIRST SABRE
FTT	FLIGHT TRACK TRAINING GMBH	FLIGHT TRAINING
FTU	CHINA CIVIL AVIATION FLIGHT UNIVERSITY	FLIGHT UNIVERSITY
FTX	FX TERRADYNAMICS SA DE CV	TERRA DYNAMICS
FTY	ABC BEDARFSFLUG GMBH	FLY TYROL
FTZ	FASTJET AIRLINES LTD	GREY BIRD
FUC	FUMICAR	FUMICAR
FUF	SERVICIOS AEREOS FUN FLY, S.A. DE C.V.	SERVIFUN
FUH	JILIN FIRST INTERNATIONAL AVIATION ACADEMY CO., LTD	GALLANT
FUJ	FUJAIRAH AVIATION CENTRE	FUJAIRAH
FUL	FIVE FORTY UGANDA LIMITED	ORANGE CRANE
FUM	FUXION LINE MEXICO, S.A. DE C.V.	FUNLINE
FUN	FUNTSHI AVIATION SERVICE	FUNTSHI
FUP	FUMIPALMA	FUMIPALMA
FUS	FUMISOL	FUMISOL
FUT	AEREO FUTURO, S.A. DE C.V.	AEREO FUTURO
FVA	CARDINAL/AIR VIRGINIA (LYNCHBURG, VA)	AIR VIRGINIA
FVJ	FLY FOR VALUE AVIATION LIMITED (VALUEJET)	VALUEJET
FVS	FALCON AVIATION SERVICES	FALCON AVIATION
FWA	INTERSTATE AIRLINES B.V.	FREEWAYAIR
FWD	FAIR WIND AIR CHARTER (STUART, FL)	FAIR WIND
FWI	AIR CARAIBES	FRENCH WEST
FWK	FLIGHTWORKS, INC. (KENNESAW, GA)	FLIGHTWORKS
FWL	FLORIDA WEST INTERNATIONAL AIRWAYS, INC. (MIAMI, FL)	FLO WEST
FWR	FLIGHTAWARE (HOUSTON, TX)	FLIGHTAWARE
FWY	FAIRWAYS CORP. (WASHINGTON, DC)	FAIRWAYS
FXA	EXPRESS AIR, INC. (NEW BEDFORD, MA)	EFFEX
FXF	VIP AIR CHARTER, INC. (ALCOA, TN)	FOX FLIGHT
FXI	FLUGFELAG ISLANDS, AIR ICELAND CONNECT	FAXI
FXL	FLY EXCELLENT AB	FLY EXCELLENT
FXP	BUZZ AERO S.R.L.	SUNDIAL
FXR	K-AIR S.R.L.	WILDFOX
FXT	FLEXFLIGHT APS	FLEXFLIGHT
FXW	ASSOCIATED AIRCRAFT GROUP, INC. (WAPPINGERA FALLS, NY)	FLEXWING
FYA	SERVICIOS AEREOS INTEGRALES S.A. (FLYANT)	FLYANT
FYB	ABSOLUTE FLIGHT SERVICES (PTY) LTD	CONTRAIL
FYC	FLYGCENTRUM I STOCKHOLM AB	FLIGHTCAB
FYD	FLYING DEVIL SA	FLYING DEVIL
FYE	EASY LINK AVIATION SERVICES	FLYME
FYG	FLYING SERVICE	FLYING GROUP
FYJ	FLYJET SP. Z.O.O.	FASTJET
FYL	FLYING GROUP LUXEMBOURG S.A.	FLYINGLUX
FYN	PT. FLYINDO AVIASI NUSANTARA	FLANDY
FYS	EUROPEAN FLYERS	EUROPEAN FLYERS
FYW	FLYWAYS LINHAS AEREAS LTDA.	MAISBRASIL
FZA	FUZHOU AIRLINES CO. LTD	STRAIT AIR
FZW	FLY AFRICA - ZIMBABWE	FRESH EXPRESS
GAA	GLOABAL AFRICA AVIATION	GLOBAL AFRICA
GAB	AEROBELL AIRLINES	CALI
GAC	GLOBEAIR AG	DREAM TEAM
GAD	SOUTH COAST AVIATION (BOURNEMOUTH) LTD	SOUTHCOAST
GAE	GERMAN AIR EXPRESS	GERMAN AIR EXPRESS
GAF	GERMAN AIR FORCE	GERMAN AIR FORCE
GAG	GREYBIRD AVIATION GROUP	GEEBIRD
GAH	GA-MA HELICOPTERE	GAMHELICO
GAI	GELIX AERO	SURGUT STAR
GAJ	GAMA AVIATION, LLC (SHELTON, CT)	GAMA JET
GAK	GLOBAL AIR TRANSPORT	AVIAGROUP
GAL	ALIANZA GLANCELOT, C.A. (ALBATROS AIRLINES)	ERRANTE
GAM	GERMAN ARMY	GERMAN ARMY
GAO	GOLDEN AIR FLYG AB	GOLDEN
GAP	AIR PHILIPPINES CORPORATION	AIRPHIL
GAR	GLORY AIRLINE	GLORY AIR
GAS	GALENA AIR SERVICE (GALENA, AK)	GALENA AIR SERVICE
GAT	GULF AIR INC. (NEW IBERIA, LA)	GULF TRANS
GAU	AEROGAUCHO S.A.	AEROGAUCHO
GAV	GLOBAL REACH AVIATION	GRAVITY
GAW	GLOBAL AIRLIFT LIMITED	SKYCRAWLER
GAX	FULL EXPRESS, INC. (SWANTON, OH)	GRAND AIRE
GBA	GULF AIR BAHRAIN B.S.C.	GULF BAHRAIN
GBB	GLOBAL AVIATION OPERATIONS (PTY) LTD	GLOBE
GBC	GABON AIRLINES CARGO	GABON CARGO
GBE	GABON EXPRESS	GABEX
GBG	GULLIVAIR	VAGABOND
GBJ	RPS SYSTEM CO., LTD.	GLOBAL THAI
GBK	GABON AIRLINES	GABON AIRLINES
GBL	UAB GLOBAL AIRWAYS	LITGLOBE
GBM	BERIEV AIRCRAFT COMPANY	BERIEV COMPANY
GBN	ATLANTIC AIRLINES	ATLANTIC GABON
GBQ	GAMBIA BIRD AIRLINES LIMITED	GAMBIA BIRD
GBR	RADER AVIATION, INC. (WHITE SULFER SPRINGS, WV)	GREENBRIER AIR
GBS	GLOBAL AIR SERVICES NIGERIA LTD	GLOBAL SERVE
GBT	A-JET AVIATION AIRCRAFT MANAGEMENT GMBH	GLOBETROTTER
GBX	GB AIRLINK, INC. (FT. LAUDERDALE, FL)	GEEBEE LINK
GCA	SERVICIOS AEREOS GECA	AEROGECA
GCB	LIGNES NATIONALES AERIENNES - LINACONGO	LINACONGO
GCC	GENERAL ELECTRIC CAPITAL AVIATION SERVICES	GECAS
GCF	AERONOR	AEROCARTO
GCH	GAMA AVIATION SA - SWITZERLAND	GAMA SWISS
GCI	GUARDIA COSTIERA ITALIANA	ITALIAN COAST GUARD
GCK	GLOCK AVIATION GMBH	GLOCK
GCL	CARGOLOGIC GERMANY GMBH	SAXONIAN
GCM	COMAIR FLIGHT SERVICES (PTY) LTD	GLOBECOM
GCN	GULF CENTRAL AIRLINES INC. (MELBOURNE, FL.)	GULF CENTRAL
GCO	GEMINI AIR CARGO, LLC	GEMINI
GCR	TIANJIN AIRLINES CO.,LTD	BO HAI
GCS	SKYWAY AIRLINES	SKY TEC
GCT	GC AVIATION (HOUSTON, TX)	GULF COAST
GCW	FLYGAC A/S	GLOBALCREW
GCY	CHC GLOBAL OPERATIONS INTERNATIONAL	HELIBIRD
GDA	SEVERN AVIATION LTD	GLADIATOR
GDB	GENDARMERIE BELGE	BELGIAN GENDARMERIE
GDC	GRAND CHINA AIR CO., LTD	GRAND CHINA
GDE	GREAT DANE AIRLINES A/S	GREAT DANE
GDG	S.P. AVIATION (HAYWARD, CA)	GOLDEN GATE
GDH	GUNEYDOGU HAVACILIK ISLETMESI LTD STD	RISING SUN
GDK	GOLDECK-FLUG GES.M.B.H.	GOLDECK FLUG
GDR	GADAIR EUROPEAN AIRLINES, S.L.	GADAIR LINES
GDS	STEELMAN AVIATION INC	GOLDSTRIKE
GDY	LIFEFLIGHT AUSTRALIA PTY LTD	GUARDIAN
GEA	CAUCASUS AIRWAYS, AIRLINE	ALAZANI
GEC	LUFTHANSA CARGO AG, FRANKFURT (MAIN)	LUFTHANSA CARGO
GEE	AEREO GE, S.A. DE C.V.	GEMEX
GEG	AERONAUTICA VIENTOS DEL NORTE, S.A. DE C.V.	VIEN NOR
GEL	AIRLINE GEO SKY LLC	SKY GEORGIA
GEN	GENSA - GENERAL SERVICES AVIATION	GENSA-BRASIL
GEO	AMS AIRLINES L.L.C.	APOLAX
GER	GERMAN AIRWAYS GMBH & CO KG	GERMAN EAGLE
GES	GESTAIR, S.A.	GESTAIR
GET	GET HIGH, UNIPESSOAL LDA	AIR FLOW
GEX	AERO EXPEDITION LLC	AERO GEORGIA
GFA	GULF AIR	GULF AIR
GFC	GAIL FORCE EXPRESS (JANESVILLE, WI)	GAIL FORCE
GFD	GFD GESELLSCHAFT FUER FLUGZIELDARSTELLUNG MBH, HOHN	KITE
GFF	GRIFFIN AVIATION (CYPRUS) LIMITED	GRIFFIN AIR
GFG	SKY GEORGIA	NATIONAL
GFI	CARIBBEAN STAR AIRLINES LIMITED	CARIB STAR
GFM	GRAFAIR FLIGHT MANAGMENT AB	PARROT
GFN	THE 955 PRESERVATION GROUP	GRIFFON
GFO	AEROVIAS DEL GOLFO, S.A. DE C.V.	AEROVIAS GOLFO
